model_year,make_,model.1_,vehicleclass_,motor_(kw),enginesize_(l),cylinders_,transmission_,fuel_type1,consumption_combinedle/100km,range1_(km),recharge_time(h),fuel.1_type2,consumption.1_city(l/100km),fuelconsumption_hwy(l/100km),fuelconsumption_comb(l/100km),range2_(km),co2emissions_(g/km),co2_rating,smog_rating,transmission_type,number_of_gears
2019,hyundai,ioniq electric plus,mid-size,45,1.6,4.0,AM6,B/X*,2.0 ([17.7 kWh + 0.0 L]/100 km),47,2.3,X,4.4,4.6,4.5,961,46,10,7,automated manual,6
2019,hyundai,sonata plug-in hybrid,mid-size,50,2.0,4.0,AM6,B/X*,2.4 ([20.9 kWh + 0.0 L]/100 km),45,2.7,X,6.3,5.6,6.0,925,62,10,7,automated manual,6
2019,karma,revero,subcompact,300,2.0,4.0,A1,B,3.9 (34.7 kWh/100 km),60,3.75,Z,11.8,11.2,11.5,328,94,10,1,automatic,1
2019,kia,niro plug-in hybrid,station wagon - small,45,1.6,4.0,AM6,B/X*,2.2 ([19.7 kWh + 0.0 L]/100 km),42,2.25,X,4.9,5.3,5.1,853,56,10,7,automated manual,6
2019,kia,optima plug-in hybrid,mid-size,50,2.0,4.0,AM6,B/X*,2.3 ([20.3 kWh + 0.0 L]/100 km),47,2.7,X,6.2,5.5,5.9,937,60,10,7,automated manual,6
2019,mercedes-benz,glc 350e 4matic,suv - small,85,2.0,4.0,A7,B/Z*,4.2 ([36.5 kWh + 0.0 L]/100 km),21,1.9,Z,9.8,8.6,9.3,541,146,9,7,automatic,7
2019,mini,cooper se countryman all4,mid-size,65,1.5,3.0,AS6,B/Z*,3.6 ([31.4 kWh + 0.0 L]/100 km),19,3,Z,8.4,8.8,8.6,420,139,9,3,automatic with select Shift,6
2019,mitsubishi,outlander phev awd,suv - small,60,2.0,4.0,A1,B/X*,3.2 ([27.7 kWh + 0.0 L]/100 km),35,3.5,X,9.4,9.0,9.2,463,108,10,7,automatic,1
2019,porsche,cayenne e-hybrid,suv - standard,99,3.0,6.0,AS8,B,5.1 (44.8 kWh/100 km),21,3,Z,11.8,10.5,11.2,669,177,7,3,automatic with select Shift,8
2019,porsche,panamera 4 e-hybrid,full-size,70,2.9,6.0,AM8,B,4.6 (40.3 kWh/100 km),23,3,Z,11.1,9.7,10.5,768,158,8,5,automated manual,8
2019,porsche,panamera turbo s e-hybrid,full-size,70,4.0,8.0,AM8,B,4.9 (41.0 kWh/100 km),23,3,Z,12.3,10.6,11.5,695,180,7,3,automated manual,8
2019,toyota,prius prime,mid-size,71,1.8,4.0,AV,B/X*,1.8 ([15.8 kWh + 0.0 L]/100 km),40,2,X,4.3,4.4,4.3,995,49,10,7,continuously variable,
2019,volvo,s90 t8 awd,mid-size,65,2.0,4.0,AS8,B/Z*,3.2 ([27.7 kWh + 0.0 L]/100 km),34,3,Z,8.9,7.1,8.1,753,100,10,7,automatic with select Shift,8
2019,volvo,xc60 t8 awd,suv - small,65,2.0,4.0,AS8,B/Z*,3.8 ([34.0 kWh + 0.0 L]/100 km),27,3,Z,9.5,8.5,9.0,779,128,9,7,automatic with select Shift,8
2019,volvo,xc90 t8 awd,suv - standard,65,2.0,4.0,AS8,B/Z*,3.9 ([34.3 kWh + 0.0 L]/100 km),27,3,Z,9.8,8.7,9.3,756,132,9,7,automatic with select Shift,8
2020,audi,q5 tfsie,suv - small,105,2.0,4.0,AM7,B/Z*,3.6 ([32.2 kWh + 0.0 L]/100 km),32,2.4,Z,9.5,8.1,8.9,615,103,10,7,automated manual,7
2020,bentley,bentayga hybrid,suv - standard,100,3.0,6.0,AS8,B/Z,5.2 ([44.2 kWh + 0.3 L]/100 km),29,3,Z,13.6,11.3,12.6,602,153,8,3,automatic with select Shift,8
2020,bmw,530e,compact,83,2.0,4.0,AS8,B/Z*,3.4 ([29.1 kWh + 0.0 L]/100 km),34,3,Z,9.5,7.7,8.7,533,106,10,7,automatic with select Shift,8
2020,bmw,530e xdrive,compact,83,2.0,4.0,AS8,B/Z*,3.6 ([32.2 kWh + 0.0 L]/100 km),31,3,Z,10.3,8.1,9.3,500,120,10,7,automatic with select Shift,8
2020,bmw,745le xdrive,full-size,83,3.0,6.0,AS8,B/Z*,4.2 ([37.7 kWh + 0.0 L]/100 km),26,3,Z,12.2,9.1,10.8,435,152,8,3,automatic with select Shift,8
2020,bmw,i3 rex (120 ah),subcompact,125,0.6,2.0,A1,B,2.4 (19.9 kWh/100 km),203,7,Z,7.8,7.5,7.7,116,14,10,7,automatic,1
2020,bmw,i3s rex (120 ah),subcompact,135,0.6,2.0,A1,B,2.4 (19.9 kWh/100 km),203,7,Z,7.8,7.5,7.7,116,14,10,7,automatic,1
2020,bmw,i8 coupe,subcompact,105,1.5,3.0,AS6,B/Z*,3.4 ([30.6 kWh + 0.0 L]/100 km),29,3,Z,9.2,8.0,8.7,488,118,10,3,automatic with select Shift,6
2020,bmw,i8 roadster,two-seater,105,1.5,3.0,AS6,B/Z*,3.4 ([30.6 kWh + 0.0 L]/100 km),29,3,Z,9.2,8.0,8.7,488,118,10,3,automatic with select Shift,6
2020,bmw,x3 xdrive30e,suv - small,80,2.0,4.0,AS8,B/Z*,3.9 ([35.0 kWh + 0.0 L]/100 km),29,3,Z,11.0,8.6,9.9,512,127,9,7,automatic with select Shift,8
2020,chrysler,pacifica hybrid,minivan,89,3.6,6.0,AV,B/X*,2.9 ([25.8 kWh + 0.0 L]/100 km),51,2,X,8.0,7.9,8.0,784,74,10,7,continuously variable,
