jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,make,model_,year
516,516,581,632,607,632,402,387,402,0,0,0,Chevrolet,Bolt,2020
113,113,127,87,83,87,95,92,95,101,101,101,Chevrolet,Camaro,2020
626,626,704,452,435,452,406,391,406,358,358,358,Chevrolet,Colorado,2020
90,90,101,295,283,295,247,238,247,125,125,125,Chevrolet,Corvette,2020
2,2,2,2,2,2,0,0,0,0,0,0,Chevrolet,Cruze,2020
836,836,941,781,751,781,867,835,867,393,393,393,Chevrolet,Equinox,2020
256,256,288,99,95,99,93,90,93,148,148,148,Chevrolet,Express,2020
3,3,3,1,1,1,0,0,0,0,0,0,Chevrolet,Impala,2020
241,241,271,155,149,155,47,46,47,87,87,87,Chevrolet,Malibu,2020
"4,633","4,633","5,212",221,213,221,"3,792","3,652","3,792","3,350","3,350","3,350",Chevrolet,Silverado,2020
455,455,512,572,550,572,585,564,585,432,432,432,Chevrolet,Spark,2020
174,174,196,221,213,221,223,215,223,173,173,173,Chevrolet,Suburban,2020
365,365,411,397,382,397,357,344,357,405,405,405,Chevrolet,Tahoe,2020
698,698,785,884,850,884,582,561,582,373,373,373,Chevrolet,TrailBlazer,2020
530,530,597,660,635,660,232,224,232,135,135,135,Chevrolet,Traverse,2020
285,285,321,284,273,284,174,168,174,48,48,48,Chevrolet,Trax,2020
78,78,88,88,84,88,27,26,27,70,70,70,Chrysler,300,2020
218,218,245,208,200,208,381,367,381,99,99,99,Chrysler,Grand Caravan,2020
459,459,516,302,290,302,539,519,539,194,194,194,Chrysler,Pacifica,2020
133,133,150,214,206,214,93,93,0,79,79,79,Dodge,Challenger,2020
203,203,228,224,215,224,78,75,0,133,133,133,Dodge,Charger,2020
0,0,0,0,0,0,1,0,0,0,0,0,Dodge,Dart,2020
622,622,699,415,399,415,323,323,0,545,545,545,Dodge,Durango,2020
"1,087","1,087","1,223",792,762,792,120,120,0,7,7,7,Dodge,Grand Caravan,2020
19,19,21,7,7,7,5,5,0,0,0,0,Dodge,Journey,2020
8,8,9,7,7,7,2,2,2,0,0,0,Fiat,124 Spider,2020
0,0,1,0,0,0,1,1,1,1,0,0,Fiat,500,2020
0,0,0,1,1,1,0,0,0,0,0,0,Fiat,500L,2020
2,2,2,3,3,3,0,0,0,1,0,0,Fiat,500X,2020
0,0,0,7,7,7,506,488,506,913,913,913,Ford,Bronco,2020
484,484,544,936,900,936,561,540,561,"1,717","1,717","1,717",Ford,Bronco Sport,2020
218,218,246,328,316,328,293,282,293,272,272,272,Ford,E-Series,2020
292,292,329,285,274,285,208,201,208,198,198,198,Ford,EcoSport,2020
808,808,909,825,794,825,"1,151","1,109","1,151","1,150","1,150","1,150",Ford,Edge,2020
"1,135","1,135","1,277","2,975","2,861","3,975","2,871","2,765","2,871","1,698","1,698","1,698",Ford,Escape,2020
336,336,378,525,505,525,439,423,439,324,324,324,Ford,Expedition,2020
"1,147","1,147","1,291","1,612","1,550","1,612","1,342","1,292","1,342","1,352","1,352","1,352",Ford,Explorer,2020
"9,676","9,676","10,886","9,820","9,443","9,820","9,821","9,458","9,821","9,327","9,327","9,327",Ford,F-Series,2020
108,108,122,120,115,120,51,49,51,22,22,22,Ford,Fusion,2020
2,2,3,2,2,2,0,0,0,1,1,1,Ford,GT,2020
0,0,0,0,0,0,1,1,1,500,500,500,Ford,Maverick,2020
235,235,264,650,625,650,378,364,378,148,148,148,Ford,Mustang,2020
213,213,239,489,470,489,384,370,384,367,367,367,Ford,Mustang Mach E,2020
671,671,755,"1,393","1,339","1,393","1,021",983,"1,021",651,651,651,Ford,Ranger,2020
"1,380","1,380","1,552","1,224","1,177","1,224","1,401","1,349","1,401",747,747,747,Ford,Transit,2020
181,181,204,293,282,293,133,128,133,148,148,148,Ford,Transit Connect,2020
31,52,72,87,151,128,125,152,110,112,52,88,Genesis,G70,2020
34,25,26,30,30,30,25,24,16,12,8,17,Genesis,G80,2020
5,4,5,4,3,2,3,6,5,7,7,6,Genesis,G90,2020
0,0,0,0,45,131,250,225,257,253,230,131,Genesis,GV70,2020
108,106,160,154,146,168,121,119,113,119,130,109,Genesis,GV80,2020
330,330,371,397,381,397,312,301,312,118,118,118,GMC,Acadia,2020
527,527,593,438,421,438,458,441,458,188,188,188,GMC,Canyon,2020
280,280,315,214,206,214,111,107,111,181,181,181,GMC,Savana,2020
"5,334","5,334","6,001","5,469","5,258","5,469","3,340","3,217","3,340","3,665","3,665","3,665",GMC,Sierra,2020
586,586,659,873,840,873,628,605,628,320,320,320,GMC,Terrain,2020
530,530,596,749,720,749,730,703,730,767,767,767,GMC,Yukon,2020
313,325,679,793,699,526,692,764,650,428,194,340,Honda,Accord,2020
"1,703","2,164","3,291","3,726","3,576","5,783","4,883","4,255","3,591","3,711","3,653","3,220",Honda,Civic,2020
6,24,39,40,28,29,6,18,13,7,28,10,Honda,Clarity FCV,2020
"2,858","3,716","4,959","4,096","5,046","6,041","6,211","5,837","4,180","2,330","2,742","2,919",Honda,CR-V,2020
60,68,109,56,36,11,10,4,3,2,1,1,Honda,Fit,2020
312,451,952,933,921,885,"1,059","1,103","1,358","1,532","1,247",863,Honda,HR-V,2020
26,27,38,41,31,30,30,11,10,3,2,2,Honda,Insight,2020
100,295,501,346,396,452,681,375,388,323,118,151,Honda,Odyssey,2020
141,152,266,238,222,239,263,234,380,344,243,147,Honda,Passport,2020
314,709,"1,251",715,674,590,605,557,479,618,478,408,Honda,Pilot,2020
87,235,482,288,230,260,161,50,409,272,585,432,Honda,Ridgeline,2020
"1,108","1,458","2,094","2,304","2,666","2,856","2,589","2,375","2,698","2,422","2,436","1,306",Hyundai,Elantra,2020
203,334,286,260,222,233,257,467,397,350,254,196,Hyundai,Ioniq,2020
0,0,0,0,0,0,0,0,0,0,0,232,Hyundai,Ioniq 5,2020
"1,400","2,058","3,402","3,154","2,973","2,728","2,778","2,634","2,634","2,870","2,564","1,906",Hyundai,Kona,2020
0,1,0,0,0,0,0,0,0,0,0,0,Hyundai,Nexo,2020
467,605,737,666,693,869,634,541,496,597,210,224,Hyundai,Palisade,2020
0,0,0,0,0,0,0,90,222,176,242,200,Hyundai,Santa Cruz,2020
632,848,"1,623","1,507","1,499","1,405","1,465","1,640","1,577","1,502","1,310",938,Hyundai,Santa Fe,2020
142,213,284,283,328,428,388,405,477,399,411,363,Hyundai,Sonata,2020
"1,061","1,521","2,250","2,435","3,075","3,118","2,925","2,435","2,186","2,135","1,251","1,095",Hyundai,Tuscon,2020
20,14,44,63,79,108,79,76,69,48,75,59,Hyundai,Veloster,2020
544,543,934,"1,094","1,208","1,220",999,"1,177","1,087","1,013","1,087",642,Hyundai,Venue,2020
89,89,100,98,94,98,89,86,89,56,56,56,Infiniti,Q50,2020
24,24,27,38,37,38,27,26,27,13,13,13,Infiniti,Q60,2020
155,155,174,201,194,201,218,210,218,144,144,144,Infiniti,QX50,2020
0,0,0,64,62,64,58,56,58,40,40,40,Infiniti,QX55,2020
130,130,146,95,91,95,47,45,47,71,71,71,Infiniti,QX60,2020
82,82,93,74,71,74,52,50,52,72,72,72,Infiniti,QX80,2020
15,15,17,11,11,11,5,5,5,1,1,1,Jaguar,E-Pace,2020
116,116,131,184,177,184,143,138,143,32,32,32,Jaguar,F-Pace,2020
17,17,19,21,20,21,10,10,10,9,9,9,Jaguar,F-Type,2020
11,11,12,6,6,6,2,2,0,10,10,10,Jaguar,I-Pace,2020
6,6,7,10,10,10,3,3,3,1,1,1,Jaguar,XF,2020
975,0,"1,097",998,959,998,681,656,681,404,404,404,Jeep,Cherokee,2020
0,0,0,0,0,0,0,0,0,0,545,545,Jeep,Commander,2020
531,0,597,376,362,376,514,495,514,545,0,0,Jeep,Compass,2020
380,0,428,299,288,299,418,403,418,470,470,470,Jeep,Gladiator,2020
"1,446",0,"1,627","1,405","1,351","1,405","1,807","1,740","1,807","1,803","1,803","1,803",Jeep,Grand Cherokee,2020
0,0,0,0,0,4,0,3,3,106,106,106,Jeep,Grand Wagoneer,2020
7,0,8,31,30,31,39,38,39,24,24,24,Jeep,Renegade,2020
0,0,0,0,0,0,3,0,0,0,0,0,Jeep,Wagoneer,2020
"1,446",0,"1,627","1,717","1,651","1,717","1,616","1,556","1,616","1,878","1,878","1,878",Jeep,Wrangler,2020
0,0,0,0,399,981,928,917,405,274,163,58,Kia,Carnival,2020
519,606,"1,321","1,552","1,784","1,704","1,685","1,678","1,671","1,014",359,535,Kia,Forte,2020
55,58,146,118,136,147,135,175,152,66,80,67,Kia,K5,2020
166,221,423,417,615,497,603,482,346,263,273,97,Kia,Niro,2020
0,2,1,0,0,0,0,0,0,0,0,0,Kia,Optima,2020
268,316,414,400,814,781,606,424,400,239,388,273,Kia,Rio,2020
61,78,18,17,9,1,1,2,2,1,0,0,Kia,Sedona,2020
754,"1,065","1,633","1,837","1,401","1,444",947,"1,346","1,523","1,260",646,580,Kia,Seltos,2020
485,646,899,"1,068","1,016","1,022",835,949,"1,226",409,830,890,Kia,Sorento,2020
228,382,588,797,671,743,928,757,954,653,416,227,Kia,Soul,2020
497,730,"1,527","1,304","1,366",898,"1,242","1,154","1,249","1,047",582,241,Kia,Sportage,2020
63,86,144,139,114,147,102,108,88,98,90,50,Kia,Stinger,2020
264,460,636,391,295,485,293,353,391,187,268,247,Kia,Telluride,2020
216,216,243,129,124,129,155,150,155,86,86,86,Land,Rover Defender,2020
13,13,15,21,20,21,21,20,21,16,16,16,Land,Rover Discovery / LR4,2020
90,90,101,41,39,41,30,29,30,26,26,26,Land,Rover Discovery Sport,2020
140,140,157,114,110,114,88,85,88,134,134,134,Land,Rover Range Rover,2020
124,124,139,75,72,75,55,53,55,135,135,135,Land,Rover Range Rover Evoque,2020
263,263,296,282,271,282,133,128,133,170,170,170,Land,Rover Range Rover Sport,2020
105,105,118,149,143,149,114,110,114,49,49,49,Land,Rover Range Rover Velar,2020
97,52,163,129,156,153,182,131,193,148,148,148,Lexus,ES,2020
1,1,0,0,0,0,0,0,0,0,0,0,Lexus,GS,2020
37,36,19,30,18,21,14,37,19,31,31,31,Lexus,GX,2020
115,130,221,330,302,263,260,215,186,32,32,32,Lexus,IS,2020
5,5,26,38,32,36,13,15,14,3,3,3,Lexus,LC,2020
6,3,3,5,2,4,4,2,6,1,1,1,Lexus,LS,2020
54,48,38,52,36,35,34,19,19,26,26,26,Lexus,LX,2020
330,442,684,797,667,699,822,820,988,345,345,345,Lexus,NX,2020
12,12,15,33,35,23,19,21,24,9,9,9,Lexus,RC,2020
451,493,836,904,801,944,923,884,"1,020","1,025","1,025","1,025",Lexus,RX,2020
112,136,237,377,303,360,337,364,472,195,195,195,Lexus,UX,2020
115,115,130,191,184,191,144,138,144,230,230,230,Lincoln,Aviator,2020
3,3,3,2,2,2,0,0,0,2,2,2,Lincoln,Continental,2020
154,154,173,230,221,230,191,184,191,258,258,258,Lincoln,MKC,2020
95,95,107,190,183,190,149,144,149,108,108,108,Lincoln,MKX/Nautilus,2020
4,4,4,4,4,4,2,2,2,0,0,0,Lincoln,MKZ,2020
87,87,98,125,120,125,116,111,116,109,109,109,Lincoln,Navigator,2020
11,11,13,11,14,8,7,9,5,7,9,5,Maserati,Ghibli,2020
2,2,3,0,0,0,0,0,0,0,0,0,Maserati,GranTurismo,2020
25,25,28,31,40,24,46,60,36,44,56,34,Maserati,Levante,2020
4,4,5,3,4,3,2,3,2,5,6,4,Maserati,Quattroporte,2020
783,717,"1,157","1,103","1,151","1,298","1,104","1,044","1,085","1,114",827,421,Mazda,3,2020
154,137,124,121,316,276,42,73,59,61,27,21,Mazda,6,2020
439,445,626,828,377,772,443,396,429,277,122,160,Mazda,CX-3,2020
581,670,"1,158","1,147","1,168","1,271","1,444","1,338","1,179",804,501,146,Mazda,CX-30,2020
"1,711","1,709","3,017","2,807","2,281","2,602","2,740","2,577","2,498","2,243","1,315","1,071",Mazda,CX-5,2020
355,354,587,716,380,448,459,439,342,254,128,68,Mazda,CX-9,2020
0,0,0,0,0,0,0,0,0,73,44,31,Mazda,MX-30,2020
16,82,220,190,132,149,108,40,28,10,11,30,Mazda,MX-5 Miata,2020
173,173,194,183,176,183,139,134,139,76,76,76,Mercedes-Benz,A-Class,2020
20,20,23,24,23,24,29,28,29,10,10,10,Mercedes-Benz,AMG GT,2020
160,160,180,231,222,231,405,390,405,209,209,209,Mercedes-Benz,C-Class,2020
99,99,111,146,140,146,98,94,98,81,81,81,Mercedes-Benz,CLA-Class,2020
115,115,129,209,201,209,162,156,162,124,124,174,Mercedes-Benz,E / CLS-Class,2020
107,107,121,76,73,76,99,96,99,171,171,171,Mercedes-Benz,G-Class,2020
197,197,221,180,173,180,161,155,161,168,168,168,Mercedes-Benz,GL/GLS-Class,2020
227,227,256,196,189,196,214,206,214,164,164,164,Mercedes-Benz,GLA-Class,2020
250,250,281,234,225,234,228,219,228,208,208,208,Mercedes-Benz,GLB,2020
510,510,574,747,718,747,573,552,573,461,461,461,Mercedes-Benz,GLC/GLK-Class,2020
543,543,611,680,654,680,551,530,551,552,552,552,Mercedes-Benz,GLE-Class,2020
0,0,0,0,0,0,0,155,161,0,0,0,Mercedes-Benz,M-Class,2020
72,72,81,106,102,106,63,61,63,66,66,66,Mercedes-Benz,Metris,2020
16,16,18,3,3,3,117,113,117,46,46,46,Mercedes-Benz,S-Class,2020
7,7,8,1,1,1,0,0,0,0,0,0,Mercedes-Benz,SL-Class,2020
5,5,6,1,1,1,0,0,0,0,0,0,Mercedes-Benz,SLC-Class,2020
421,421,474,156,150,156,433,417,433,337,337,337,Mercedes-Benz,Sprinter,2020
177,177,199,301,289,301,225,217,225,197,197,197,Mini,Cooper,2020
99,99,112,146,141,146,143,137,143,125,125,125,Mini,Countryman,2020
387,387,435,413,397,413,291,280,291,409,409,409,Mitsubishi,Eclipse Cross,2020
61,61,69,102,98,102,45,44,45,94,94,94,Mitsubishi,Mirage,2020
541,541,608,930,894,930,884,851,884,815,815,815,Mitsubishi,Outlander,2020
574,574,645,"1,016",977,"1,016",793,764,793,517,517,517,Mitsubishi,Outlander Sport,2020
4,4,5,2,2,2,0,0,0,0,0,0,Nissan,370Z,2020
105,105,118,140,135,140,89,86,89,70,70,70,Nissan,Altima,2020
47,47,53,65,63,65,49,47,49,37,37,37,Nissan,Armada,2020
0,0,0,0,0,0,156,150,156,418,418,418,Nissan,Frontier,2020
4,4,5,4,4,4,4,4,4,5,5,5,Nissan,GT-R,2020
"1,415","1,415","1,592","1,758","1,690","1,758","1,250","1,464","1,520","1,539","1,539","1,539",Nissan,Kicks,2020
82,82,93,129,124,129,96,92,96,100,100,100,Nissan,Leaf,2020
20,20,23,95,91,95,29,28,29,19,19,19,Nissan,Maxima,2020
525,525,591,692,666,692,678,653,678,384,384,384,Nissan,Murano,2020
5,5,6,91,87,91,8,8,8,0,0,0,Nissan,NV,2020
195,195,219,330,318,330,305,293,305,127,127,127,Nissan,NV200,2020
301,301,339,162,156,162,383,369,383,229,229,229,Nissan,Pathfinder,2020
955,955,"1,074","1,148","1,104","1,148",985,949,985,890,890,890,Nissan,Qashqai,2020
"2,950","2,950","3,318","2,784","2,677","2,784","2,697","2,597","2,697","1,491","1,491","1,491",Nissan,Rogue,2020
718,718,808,932,896,932,"1,265","1,218","1,265",421,421,421,Nissan,Sentra,2020
30,30,34,71,68,71,23,22,23,14,14,14,Nissan,Titan,2020
188,188,212,410,394,410,247,238,247,121,121,121,Nissan,Versa,2020
37,37,41,75,72,75,66,63,66,36,36,36,Porsche,718,2020
70,70,79,178,171,178,86,83,86,121,121,121,Porsche,911,2020
131,131,147,296,285,296,279,269,279,110,110,110,Porsche,Cayenne,2020
228,228,257,355,341,355,268,258,268,366,366,366,Porsche,Macan,2020
10,10,11,34,33,34,31,30,31,27,27,27,Porsche,Panamera,2020
54,54,60,94,90,94,44,43,44,52,52,52,Porsche,Taycan,2020
"6,837","6,837","7,692","6,219","5,980","6,219","5,023","4,837","5,023","6,270","6,270","6,270",Ram,Pickup,2020
217,217,244,213,205,213,276,266,276,295,295,295,Ram,ProMaster,2020
21,21,24,64,62,64,25,24,25,64,64,64,Ram,ProMaster City,2020
147,231,342,306,306,394,305,260,136,78,426,428,Subaru,Ascent,2020
19,31,46,42,27,4,1,1,1,0,129,137,Subaru,BRZ,2020
"1,003","1,336","2,166","1,827","2,234","2,306","2,839","2,568","2,441","2,935","1,038",649,Subaru,CrossTrek,2020
526,582,"1,091","1,106","1,311","1,116","1,145","1,145",892,506,121,282,Subaru,Forester,2020
176,178,334,329,345,362,317,310,426,482,699,458,Subaru,Impreza,2020
185,129,171,385,370,308,360,294,389,553,111,23,Subaru,Impreza WRX,2020
53,57,102,82,92,51,84,88,98,84,85,74,Subaru,Legacy,2020
544,677,"1,134","1,122",818,709,988,"1,187","1,337","1,017",800,931,Subaru,Outback,2020
"1,024","1,024","1,152","1,081","1,039","1,081","1,080","1,040","1,080","1,067","1,067","1,067",Tesla,Model 3,2020
48,48,54,51,49,51,51,49,51,50,50,50,Tesla,Model S,2020
80,80,90,84,81,84,84,81,84,83,83,83,Tesla,Model X,2020
512,512,576,540,519,540,540,520,540,533,533,533,Tesla,Model Y,2020
668,748,738,643,601,710,788,983,814,533,533,533,Toyota,4Runner,2020
10,6,17,13,14,7,2,0,0,2,2,2,Toyota,86 / FR-S,2020
17,12,17,19,23,14,12,18,14,7,7,7,Toyota,Avalon,2020
297,478,778,835,910,875,"1,061",922,874,382,382,382,Toyota,C-HR,2020
714,672,900,"1,132","1,353","1,241","1,449","1,209","1,043",728,728,728,Toyota,Camry,2020
"1,595","1,925","3,596","3,672","4,592","5,192","4,152","4,268","4,635","2,131","2,131","2,131",Toyota,Corolla,2020
0,0,0,0,0,0,0,0,0,289,289,289,Toyota,Corolla Cross,2020
"1,029","1,328","2,013","1,827","1,917","2,289","2,070","1,863","1,499","1,350","1,350","1,350",Toyota,Highlander,2020
32,20,18,28,25,30,43,31,20,47,47,47,Toyota,Land Cruiser,2020
16,3,3,0,1,1,1,2,38,21,21,21,Toyota,Mirai,2020
182,289,595,616,639,786,841,852,0,425,425,425,Toyota,Prius Family,2020
"3,699","4,594","7,372","7,920","7,088","7,235","6,702","5,264","2,954","3,035","3,035","3,035",Toyota,RAV4,2020
36,38,36,52,33,44,31,15,39,31,31,31,Toyota,Sequoia,2020
751,745,775,957,918,"1,616","1,330",722,"1,466",863,863,863,Toyota,Sienna,2020
13,7,24,48,73,79,53,29,33,17,17,17,Toyota,Supra,2020
784,697,994,"1,884","1,476","1,514","1,388","1,300","1,704","1,046","1,046","1,046",Toyota,Tacoma,2020
555,500,493,603,507,627,570,482,640,559,559,559,Toyota,Tundra,2020
174,217,407,494,500,505,744,841,948,473,473,473,Toyota,Venza,2020
41,57,103,43,39,0,0,0,0,0,0,0,Toyota,Yaris,2020
19,19,21,37,36,37,28,27,28,13,13,13,Volkswagen,Arteon,2020
840,840,945,"1,358","1,306","1,358","1,378","1,327","1,378",920,920,920,Volkswagen,Atlas,2020
1,1,1,0,0,0,0,0,0,0,0,0,Volkswagen,Beetle,2020
774,774,871,"1,110","1,068","1,110",741,714,741,228,228,228,Volkswagen,Golf,2020
0,0,0,0,0,0,0,0,0,179,179,179,Volkswagen,ID.4,2020
829,829,933,"1,022",983,"1,022","1,466","1,412","1,466",874,874,874,Volkswagen,Jetta,2020
209,209,235,214,206,214,166,160,166,125,125,125,Volkswagen,Passat,2020
0,0,0,59,56,59,263,253,263,889,889,889,Volkswagen,Taos,2020
"1,076","1,076","1,211","1,837","1,766","1,837","2,225","2,142","2,225","1,212","1,212","1,212",Volkswagen,Tiguan,2020
0,0,0,103,0,0,0,0,0,0,0,0,Volvo,40 Series,2020
98,98,110,0,134,81,121,157,95,122,158,96,Volvo,60-Series,2020
7,7,8,15,19,12,15,19,12,23,29,18,Volvo,90-Series,2020
222,222,250,369,477,289,252,327,198,224,290,176,Volvo,XC40,2020
155,155,174,241,312,189,395,511,309,311,402,244,Volvo,XC60,2020
190,190,214,261,338,205,281,364,220,192,249,151,Volvo,XC90,2020
62,65,124,116,93,73,70,68,58,59,39,43,Acura,ILX,2021
93,389,782,611,550,501,347,516,309,406,303,275,Acura,MDX,2021
0,2,3,5,5,1,1,2,3,0,1,0,Acura,NSX,2021
443,466,650,552,607,738,747,720,788,854,661,750,Acura,RDX,2021
0,0,1,0,0,0,0,0,1,0,0,0,Acura,RLX,2021
111,112,309,0,1,0,391,249,225,143,155,85,Acura,TLX,2021
1,1,1,3,3,3,0,0,0,0,0,0,Alfa,Romeo 4C,2021
12,12,14,26,25,26,15,14,15,14,14,14,Alfa,Romeo Giulia,2021
42,42,48,59,57,59,68,65,68,67,67,67,Alfa,Romeo Stelvio,2021
40,40,45,2,2,2,0,0,0,98,98,98,Audi,A3,2021
113,113,127,224,216,224,117,113,117,46,46,46,Audi,A4,2021
181,181,204,431,414,431,177,170,177,85,85,85,Audi,A5,2021
95,95,107,91,87,91,34,33,34,32,32,32,Audi,A6,2021
37,37,42,60,57,60,17,16,17,16,16,16,Audi,A7,2021
6,6,6,8,7,8,6,6,6,3,3,3,Audi,A8,2021
0,0,0,0,0,0,42,40,42,28,28,28,Audi,e-Tron GT,2021
45,45,51,1,1,1,55,53,55,49,49,49,Audi,eTron,2021
553,553,622,843,810,843,581,559,581,574,574,574,Audi,Q3,2021
623,623,701,"1,268","1,219","1,268",814,784,814,618,618,618,Audi,Q5,2021
210,210,236,303,292,303,254,244,254,111,111,111,Audi,Q7,2021
130,130,146,211,203,211,114,110,114,35,35,35,Audi,Q8,2021
12,12,13,19,18,19,8,8,8,10,10,10,Audi,R8,2021
11,11,12,34,33,34,16,15,16,3,3,3,Audi,TT,2021
152,152,171,237,228,237,214,206,214,78,78,78,BMW,2-Series,2021
287,287,323,453,436,543,403,388,403,305,305,305,BMW,3-Series,2021
127,127,143,221,213,221,141,136,141,110,110,110,BMW,4-Series,2021
85,85,95,87,84,87,92,88,92,48,48,48,BMW,5-Series,2021
13,13,15,15,14,15,17,17,17,15,15,15,BMW,7-Series,2021
47,47,53,65,62,65,39,38,39,25,25,25,BMW,8-Series,2021
7,7,8,11,11,11,19,18,19,22,22,22,BMW,i3,2021
188,188,212,347,334,347,189,182,189,142,142,142,BMW,X1,2021
44,44,49,121,116,121,85,82,85,52,52,52,BMW,X2,2021
404,404,455,627,603,627,656,632,656,813,813,813,BMW,X3,2021
84,84,95,139,133,139,152,147,152,146,46,146,BMW,X4,2021
323,323,364,518,498,518,561,540,561,493,493,493,BMW,X5,2021
72,72,81,113,108,113,122,118,122,96,96,96,BMW,X6,2021
76,76,86,96,92,96,91,88,91,54,54,54,BMW,X7,2021
9,9,10,30,29,30,21,20,21,10,10,10,BMW,Z4,2021
167,167,188,253,243,253,175,168,175,127,127,127,Buick,Enclave,2021
171,171,192,202,194,202,136,131,136,122,122,122,Buick,Encore,2021
552,552,621,780,750,780,598,576,598,384,384,384,Buick,Encore GX,2021
187,187,211,414,398,414,593,571,593,241,241,241,Buick,Envision,2021
2,2,2,1,1,1,0,0,0,0,0,0,Buick,LaCrosse,2021
5,5,6,1,1,1,0,0,0,0,0,0,Buick,Regal,2021
63,63,71,81,78,81,68,65,68,29,29,29,Cadillac,CT4,2021
95,95,107,100,96,100,63,60,63,49,49,49,Cadillac,CT5,2021
0,0,0,1,1,1,0,0,0,0,0,0,Cadillac,CT6,2021
2,2,2,1,1,1,0,0,0,0,0,0,Cadillac,CTS,2021
217,217,244,343,330,343,380,366,380,208,208,208,Cadillac,Escalade,2021
299,299,337,294,282,294,80,77,80,53,53,53,Cadillac,XT4,2021
378,378,425,575,553,575,293,282,293,196,196,196,Cadillac,XT5,2021
146,146,164,175,168,175,136,131,136,82,82,82,Cadillac,XT6,2021
1,1,1,0,0,0,0,0,0,0,0,0,Cadillac,XTS,2021
320,320,360,334,321,334,217,209,217,263,263,263,Chevrolet,Blazer,2021
516,516,581,632,607,632,402,387,402,0,0,0,Chevrolet,Bolt,2021
113,113,127,87,83,87,95,92,95,101,101,101,Chevrolet,Camaro,2021
626,626,704,452,435,452,406,391,406,358,358,358,Chevrolet,Colorado,2021
90,90,101,295,283,295,247,238,247,125,125,125,Chevrolet,Corvette,2021
2,2,2,2,2,2,0,0,0,0,0,0,Chevrolet,Cruze,2021
836,836,941,781,751,781,867,835,867,393,393,393,Chevrolet,Equinox,2021
256,256,288,99,95,99,93,90,93,148,148,148,Chevrolet,Express,2021
3,3,3,1,1,1,0,0,0,0,0,0,Chevrolet,Impala,2021
241,241,271,155,149,155,47,46,47,87,87,87,Chevrolet,Malibu,2021
"4,633","4,633","5,212",221,213,221,"3,792","3,652","3,792","3,350","3,350","3,350",Chevrolet,Silverado,2021
455,455,512,572,550,572,585,564,585,432,432,432,Chevrolet,Spark,2021
174,174,196,221,213,221,223,215,223,173,173,173,Chevrolet,Suburban,2021
365,365,411,397,382,397,357,344,357,405,405,405,Chevrolet,Tahoe,2021
698,698,785,884,850,884,582,561,582,373,373,373,Chevrolet,TrailBlazer,2021
530,530,597,660,635,660,232,224,232,135,135,135,Chevrolet,Traverse,2021
285,285,321,284,273,284,174,168,174,48,48,48,Chevrolet,Trax,2021
78,78,88,88,84,88,27,26,27,70,70,70,Chrysler,300,2021
218,218,245,208,200,208,381,367,381,99,99,99,Chrysler,Grand Caravan,2021
459,459,516,302,290,302,539,519,539,194,194,194,Chrysler,Pacifica,2021
133,133,150,214,206,214,93,93,0,79,79,79,Dodge,Challenger,2021
203,203,228,224,215,224,78,75,0,133,133,133,Dodge,Charger,2021
0,0,0,0,0,0,1,0,0,0,0,0,Dodge,Dart,2021
622,622,699,415,399,415,323,323,0,545,545,545,Dodge,Durango,2021
"1,087","1,087","1,223",792,762,792,120,120,0,7,7,7,Dodge,Grand Caravan,2021
19,19,21,7,7,7,5,5,0,0,0,0,Dodge,Journey,2021
8,8,9,7,7,7,2,2,2,0,0,0,Fiat,124 Spider,2021
0,0,1,0,0,0,1,1,1,1,0,0,Fiat,500,2021
0,0,0,1,1,1,0,0,0,0,0,0,Fiat,500L,2021
2,2,2,3,3,3,0,0,0,1,0,0,Fiat,500X,2021
0,0,0,7,7,7,506,488,506,913,913,913,Ford,Bronco,2021
484,484,544,936,900,936,561,540,561,"1,717","1,717","1,717",Ford,Bronco Sport,2021
218,218,246,328,316,328,293,282,293,272,272,272,Ford,E-Series,2021
292,292,329,285,274,285,208,201,208,198,198,198,Ford,EcoSport,2021
808,808,909,825,794,825,"1,151","1,109","1,151","1,150","1,150","1,150",Ford,Edge,2021
"1,135","1,135","1,277","2,975","2,861","3,975","2,871","2,765","2,871","1,698","1,698","1,698",Ford,Escape,2021
336,336,378,525,505,525,439,423,439,324,324,324,Ford,Expedition,2021
"1,147","1,147","1,291","1,612","1,550","1,612","1,342","1,292","1,342","1,352","1,352","1,352",Ford,Explorer,2021
"9,676","9,676","10,886","9,820","9,443","9,820","9,821","9,458","9,821","9,327","9,327","9,327",Ford,F-Series,2021
108,108,122,120,115,120,51,49,51,22,22,22,Ford,Fusion,2021
2,2,3,2,2,2,0,0,0,1,1,1,Ford,GT,2021
0,0,0,0,0,0,1,1,1,500,500,500,Ford,Maverick,2021
235,235,264,650,625,650,378,364,378,148,148,148,Ford,Mustang,2021
213,213,239,489,470,489,384,370,384,367,367,367,Ford,Mustang Mach E,2021
671,671,755,"1,393","1,339","1,393","1,021",983,"1,021",651,651,651,Ford,Ranger,2021
"1,380","1,380","1,552","1,224","1,177","1,224","1,401","1,349","1,401",747,747,747,Ford,Transit,2021
181,181,204,293,282,293,133,128,133,148,148,148,Ford,Transit Connect,2021
31,52,72,87,151,128,125,152,110,112,52,88,Genesis,G70,2021
34,25,26,30,30,30,25,24,16,12,8,17,Genesis,G80,2021
