number_units_sold,make,model_,date
15,Audi,A8,2019-11-01
13,Audi,A8,2019-12-01
0,Audi,eTron,2019-01-01
0,Audi,eTron,2019-02-01
0,Audi,eTron,2019-03-01
0,Audi,eTron,2019-04-01
0,Audi,eTron,2019-05-01
113,Audi,eTron,2019-06-01
98,Audi,eTron,2019-07-01
42,Audi,eTron,2019-08-01
71,Audi,eTron,2019-09-01
58,Audi,eTron,2019-10-01
75,Audi,eTron,2019-11-01
33,Audi,eTron,2019-12-01
77,Audi,Q3,2019-01-01
0,Audi,Q3,2019-02-01
0,Audi,Q3,2019-03-01
0,Audi,Q3,2019-04-01
0,Audi,Q3,2019-05-01
0,Audi,Q3,2019-06-01
371,Audi,Q3,2019-07-01
730,Audi,Q3,2019-08-01
457,Audi,Q3,2019-09-01
668,Audi,Q3,2019-10-01
929,Audi,Q3,2019-11-01
502,Audi,Q3,2019-12-01
626,Audi,Q5,2019-01-01
603,Audi,Q5,2019-02-01
1025,Audi,Q5,2019-03-01
1349,Audi,Q5,2019-04-01
1346,Audi,Q5,2019-05-01
833,Audi,Q5,2019-06-01
781,Audi,Q5,2019-07-01
921,Audi,Q5,2019-08-01
1070,Audi,Q5,2019-09-01
859,Audi,Q5,2019-10-01
1009,Audi,Q5,2019-11-01
433,Audi,Q5,2019-12-01
226,Audi,Q7,2019-01-01
200,Audi,Q7,2019-02-01
407,Audi,Q7,2019-03-01
363,Audi,Q7,2019-04-01
296,Audi,Q7,2019-05-01
182,Audi,Q7,2019-06-01
174,Audi,Q7,2019-07-01
191,Audi,Q7,2019-08-01
329,Audi,Q7,2019-09-01
360,Audi,Q7,2019-10-01
335,Audi,Q7,2019-11-01
150,Audi,Q7,2019-12-01
130,Audi,Q8,2019-01-01
135,Audi,Q8,2019-02-01
208,Audi,Q8,2019-03-01
235,Audi,Q8,2019-04-01
218,Audi,Q8,2019-05-01
167,Audi,Q8,2019-06-01
179,Audi,Q8,2019-07-01
191,Audi,Q8,2019-08-01
160,Audi,Q8,2019-09-01
198,Audi,Q8,2019-10-01
148,Audi,Q8,2019-11-01
103,Audi,Q8,2019-12-01
6,Audi,R8,2019-01-01
2,Audi,R8,2019-02-01
3,Audi,R8,2019-03-01
3,Audi,R8,2019-04-01
2,Audi,R8,2019-05-01
21,Audi,R8,2019-06-01
17,Audi,R8,2019-07-01
27,Audi,R8,2019-08-01
7,Audi,R8,2019-09-01
22,Audi,R8,2019-10-01
14,Audi,R8,2019-11-01
6,Audi,R8,2019-12-01
12,Audi,TT,2019-01-01
24,Audi,TT,2019-02-01
56,Audi,TT,2019-03-01
31,Audi,TT,2019-04-01
67,Audi,TT,2019-05-01
54,Audi,TT,2019-06-01
28,Audi,TT,2019-07-01
33,Audi,TT,2019-08-01
10,Audi,TT,2019-09-01
13,Audi,TT,2019-10-01
15,Audi,TT,2019-11-01
5,Audi,TT,2019-12-01
78,BMW,2-Series,2019-01-01
61,BMW,2-Series,2019-02-01
137,BMW,2-Series,2019-03-01
165,BMW,2-Series,2019-04-01
190,BMW,2-Series,2019-05-01
140,BMW,2-Series,2019-06-01
95,BMW,2-Series,2019-07-01
65,BMW,2-Series,2019-08-01
84,BMW,2-Series,2019-09-01
106,BMW,2-Series,2019-10-01
45,BMW,2-Series,2019-11-01
36,BMW,2-Series,2019-12-01
189,BMW,3-Series,2019-01-01
212,BMW,3-Series,2019-02-01
363,BMW,3-Series,2019-03-01
762,BMW,3-Series,2019-04-01
643,BMW,3-Series,2019-05-01
523,BMW,3-Series,2019-06-01
501,BMW,3-Series,2019-07-01
524,BMW,3-Series,2019-08-01
738,BMW,3-Series,2019-09-01
489,BMW,3-Series,2019-10-01
615,BMW,3-Series,2019-11-01
349,BMW,3-Series,2019-12-01
147,BMW,4-Series,2019-01-01
216,BMW,4-Series,2019-02-01
191,BMW,4-Series,2019-03-01
205,BMW,4-Series,2019-04-01
468,BMW,4-Series,2019-05-01
217,BMW,4-Series,2019-06-01
153,BMW,4-Series,2019-07-01
125,BMW,4-Series,2019-08-01
214,BMW,4-Series,2019-09-01
101,BMW,4-Series,2019-10-01
134,BMW,4-Series,2019-11-01
108,BMW,4-Series,2019-12-01
86,BMW,5-Series,2019-01-01
139,BMW,5-Series,2019-02-01
165,BMW,5-Series,2019-03-01
202,BMW,5-Series,2019-04-01
243,BMW,5-Series,2019-05-01
144,BMW,5-Series,2019-06-01
110,BMW,5-Series,2019-07-01
84,BMW,5-Series,2019-08-01
149,BMW,5-Series,2019-09-01
135,BMW,5-Series,2019-10-01
113,BMW,5-Series,2019-11-01
51,BMW,5-Series,2019-12-01
9,BMW,6-Series,2019-01-01
11,BMW,6-Series,2019-02-01
7,BMW,6-Series,2019-03-01
33,BMW,6-Series,2019-04-01
34,BMW,6-Series,2019-05-01
10,BMW,6-Series,2019-06-01
3,BMW,6-Series,2019-07-01
19,BMW,6-Series,2019-08-01
12,BMW,6-Series,2019-09-01
6,BMW,6-Series,2019-10-01
6,BMW,6-Series,2019-11-01
7,BMW,6-Series,2019-12-01
15,BMW,7-Series,2019-01-01
15,BMW,7-Series,2019-02-01
38,BMW,7-Series,2019-03-01
44,BMW,7-Series,2019-04-01
36,BMW,7-Series,2019-05-01
34,BMW,7-Series,2019-06-01
40,BMW,7-Series,2019-07-01
41,BMW,7-Series,2019-08-01
59,BMW,7-Series,2019-09-01
19,BMW,7-Series,2019-10-01
12,BMW,7-Series,2019-11-01
22,BMW,7-Series,2019-12-01
15,BMW,8-Series,2019-01-01
12,BMW,8-Series,2019-02-01
17,BMW,8-Series,2019-03-01
34,BMW,8-Series,2019-04-01
34,BMW,8-Series,2019-05-01
33,BMW,8-Series,2019-06-01
15,BMW,8-Series,2019-07-01
14,BMW,8-Series,2019-08-01
29,BMW,8-Series,2019-09-01
11,BMW,8-Series,2019-10-01
25,BMW,8-Series,2019-11-01
25,BMW,8-Series,2019-12-01
13,BMW,i3,2019-01-01
12,BMW,i3,2019-02-01
13,BMW,i3,2019-03-01
34,BMW,i3,2019-04-01
24,BMW,i3,2019-05-01
41,BMW,i3,2019-06-01
18,BMW,i3,2019-07-01
22,BMW,i3,2019-08-01
48,BMW,i3,2019-09-01
50,BMW,i3,2019-10-01
30,BMW,i3,2019-11-01
6,BMW,i3,2019-12-01
183,BMW,X1,2019-01-01
591,BMW,X1,2019-02-01
509,BMW,X1,2019-03-01
525,BMW,X1,2019-04-01
244,BMW,X1,2019-05-01
307,BMW,X1,2019-06-01
151,BMW,X1,2019-07-01
310,BMW,X1,2019-08-01
477,BMW,X1,2019-09-01
456,BMW,X1,2019-10-01
425,BMW,X1,2019-11-01
242,BMW,X1,2019-12-01
63,BMW,X2,2019-01-01
203,BMW,X2,2019-02-01
145,BMW,X2,2019-03-01
163,BMW,X2,2019-04-01
172,BMW,X2,2019-05-01
111,BMW,X2,2019-06-01
57,BMW,X2,2019-07-01
66,BMW,X2,2019-08-01
128,BMW,X2,2019-09-01
51,BMW,X2,2019-10-01
124,BMW,X2,2019-11-01
100,BMW,X2,2019-12-01
557,BMW,X3,2019-01-01
410,BMW,X3,2019-02-01
686,BMW,X3,2019-03-01
739,BMW,X3,2019-04-01
607,BMW,X3,2019-05-01
734,BMW,X3,2019-06-01
701,BMW,X3,2019-07-01
994,BMW,X3,2019-08-01
855,BMW,X3,2019-09-01
820,BMW,X3,2019-10-01
722,BMW,X3,2019-11-01
579,BMW,X3,2019-12-01
59,BMW,X4,2019-01-01
71,BMW,X4,2019-02-01
95,BMW,X4,2019-03-01
738,BMW,X4,2019-04-01
105,BMW,X4,2019-05-01
66,BMW,X4,2019-06-01
96,BMW,X4,2019-07-01
90,BMW,X4,2019-08-01
124,BMW,X4,2019-09-01
210,BMW,X4,2019-10-01
137,BMW,X4,2019-11-01
73,BMW,X4,2019-12-01
659,BMW,X5,2019-01-01
358,BMW,X5,2019-02-01
504,BMW,X5,2019-03-01
691,BMW,X5,2019-04-01
675,BMW,X5,2019-05-01
504,BMW,X5,2019-06-01
536,BMW,X5,2019-07-01
506,BMW,X5,2019-08-01
797,BMW,X5,2019-09-01
454,BMW,X5,2019-10-01
556,BMW,X5,2019-11-01
390,BMW,X5,2019-12-01
15,BMW,X6,2019-01-01
30,BMW,X6,2019-02-01
31,BMW,X6,2019-03-01
61,BMW,X6,2019-04-01
78,BMW,X6,2019-05-01
39,BMW,X6,2019-06-01
18,BMW,X6,2019-07-01
18,BMW,X6,2019-08-01
70,BMW,X6,2019-09-01
49,BMW,X6,2019-10-01
113,BMW,X6,2019-11-01
88,BMW,X6,2019-12-01
0,BMW,X7,2019-01-01
0,BMW,X7,2019-02-01
180,BMW,X7,2019-03-01
231,BMW,X7,2019-04-01
207,BMW,X7,2019-05-01
191,BMW,X7,2019-06-01
207,BMW,X7,2019-07-01
128,BMW,X7,2019-08-01
151,BMW,X7,2019-09-01
117,BMW,X7,2019-10-01
116,BMW,X7,2019-11-01
92,BMW,X7,2019-12-01
0,BMW,Z4,2019-01-01
0,BMW,Z4,2019-02-01
6,BMW,Z4,2019-03-01
0,BMW,Z4,2019-04-01
43,BMW,Z4,2019-05-01
33,BMW,Z4,2019-06-01
21,BMW,Z4,2019-07-01
17,BMW,Z4,2019-08-01
24,BMW,Z4,2019-09-01
12,BMW,Z4,2019-10-01
9,BMW,Z4,2019-11-01
13,BMW,Z4,2019-12-01
174,Buick,Enclave,2019-01-01
199,Buick,Enclave,2019-02-01
300,Buick,Enclave,2019-03-01
312,Buick,Enclave,2019-04-01
347,Buick,Enclave,2019-05-01
262,Buick,Enclave,2019-06-01
303,Buick,Enclave,2019-07-01
317,Buick,Enclave,2019-08-01
183,Buick,Enclave,2019-09-01
199,Buick,Enclave,2019-10-01
169,Buick,Enclave,2019-11-01
169,Buick,Enclave,2019-12-01
528,Buick,Encore,2019-01-01
603,Buick,Encore,2019-02-01
908,Buick,Encore,2019-03-01
945,Buick,Encore,2019-04-01
1052,Buick,Encore,2019-05-01
794,Buick,Encore,2019-06-01
917,Buick,Encore,2019-07-01
959,Buick,Encore,2019-08-01
791,Buick,Encore,2019-09-01
825,Buick,Encore,2019-10-01
701,Buick,Encore,2019-11-01
701,Buick,Encore,2019-12-01
134,Buick,Envision,2019-01-01
153,Buick,Envision,2019-02-01
231,Buick,Envision,2019-03-01
240,Buick,Envision,2019-04-01
267,Buick,Envision,2019-05-01
202,Buick,Envision,2019-06-01
233,Buick,Envision,2019-07-01
244,Buick,Envision,2019-08-01
405,Buick,Envision,2019-09-01
222,Buick,Envision,2019-10-01
188,Buick,Envision,2019-11-01
188,Buick,Envision,2019-12-01
33,Buick,LaCrosse,2019-01-01
38,Buick,LaCrosse,2019-02-01
57,Buick,LaCrosse,2019-03-01
59,Buick,LaCrosse,2019-04-01
66,Buick,LaCrosse,2019-05-01
50,Buick,LaCrosse,2019-06-01
57,Buick,LaCrosse,2019-07-01
60,Buick,LaCrosse,2019-08-01
19,Buick,LaCrosse,2019-09-01
33,Buick,LaCrosse,2019-10-01
28,Buick,LaCrosse,2019-11-01
14,Buick,LaCrosse,2019-12-01
35,Buick,Regal,2019-01-01
41,Buick,Regal,2019-02-01
61,Buick,Regal,2019-03-01
64,Buick,Regal,2019-04-01
71,Buick,Regal,2019-05-01
