number_units_sold,make,model_,date
53,Jeep,Renegade,2019-07-01
60,Jeep,Renegade,2019-08-01
106,Jeep,Renegade,2019-09-01
50,Jeep,Renegade,2019-10-01
42,Jeep,Renegade,2019-11-01
15,Jeep,Renegade,2019-12-01
1639,Jeep,Wrangler,2019-01-01
2224,Jeep,Wrangler,2019-02-01
2568,Jeep,Wrangler,2019-03-01
2510,Jeep,Wrangler,2019-04-01
2112,Jeep,Wrangler,2019-05-01
2497,Jeep,Wrangler,2019-06-01
2108,Jeep,Wrangler,2019-07-01
1523,Jeep,Wrangler,2019-08-01
1973,Jeep,Wrangler,2019-09-01
1531,Jeep,Wrangler,2019-10-01
750,Jeep,Wrangler,2019-11-01
1750,Jeep,Wrangler,2019-12-01
1,Kia,Cadenza,2019-01-01
6,Kia,Cadenza,2019-02-01
3,Kia,Cadenza,2019-03-01
2,Kia,Cadenza,2019-04-01
4,Kia,Cadenza,2019-05-01
3,Kia,Cadenza,2019-06-01
0,Kia,Cadenza,2019-07-01
0,Kia,Cadenza,2019-08-01
1,Kia,Cadenza,2019-09-01
0,Kia,Cadenza,2019-10-01
0,Kia,Cadenza,2019-11-01
1,Kia,Cadenza,2019-12-01
847,Kia,Forte,2019-01-01
885,Kia,Forte,2019-02-01
1625,Kia,Forte,2019-03-01
1565,Kia,Forte,2019-04-01
1330,Kia,Forte,2019-05-01
1599,Kia,Forte,2019-06-01
1511,Kia,Forte,2019-07-01
1726,Kia,Forte,2019-08-01
1220,Kia,Forte,2019-09-01
1307,Kia,Forte,2019-10-01
1137,Kia,Forte,2019-11-01
797,Kia,Forte,2019-12-01
0,Kia,K900,2019-01-01
0,Kia,K900,2019-02-01
0,Kia,K900,2019-03-01
0,Kia,K900,2019-04-01
0,Kia,K900,2019-05-01
0,Kia,K900,2019-06-01
0,Kia,K900,2019-07-01
0,Kia,K900,2019-08-01
0,Kia,K900,2019-09-01
0,Kia,K900,2019-10-01
0,Kia,K900,2019-11-01
0,Kia,K900,2019-12-01
151,Kia,Niro,2019-01-01
170,Kia,Niro,2019-02-01
229,Kia,Niro,2019-03-01
327,Kia,Niro,2019-04-01
549,Kia,Niro,2019-05-01
458,Kia,Niro,2019-06-01
432,Kia,Niro,2019-07-01
568,Kia,Niro,2019-08-01
415,Kia,Niro,2019-09-01
453,Kia,Niro,2019-10-01
323,Kia,Niro,2019-11-01
263,Kia,Niro,2019-12-01
62,Kia,Optima,2019-01-01
70,Kia,Optima,2019-02-01
210,Kia,Optima,2019-03-01
178,Kia,Optima,2019-04-01
155,Kia,Optima,2019-05-01
197,Kia,Optima,2019-06-01
193,Kia,Optima,2019-07-01
151,Kia,Optima,2019-08-01
147,Kia,Optima,2019-09-01
100,Kia,Optima,2019-10-01
100,Kia,Optima,2019-11-01
108,Kia,Optima,2019-12-01
354,Kia,Rio,2019-01-01
257,Kia,Rio,2019-02-01
464,Kia,Rio,2019-03-01
424,Kia,Rio,2019-04-01
544,Kia,Rio,2019-05-01
511,Kia,Rio,2019-06-01
456,Kia,Rio,2019-07-01
388,Kia,Rio,2019-08-01
322,Kia,Rio,2019-09-01
431,Kia,Rio,2019-10-01
293,Kia,Rio,2019-11-01
472,Kia,Rio,2019-12-01
223,Kia,Sedona,2019-01-01
320,Kia,Sedona,2019-02-01
422,Kia,Sedona,2019-03-01
450,Kia,Sedona,2019-04-01
771,Kia,Sedona,2019-05-01
624,Kia,Sedona,2019-06-01
435,Kia,Sedona,2019-07-01
469,Kia,Sedona,2019-08-01
327,Kia,Sedona,2019-09-01
289,Kia,Sedona,2019-10-01
377,Kia,Sedona,2019-11-01
285,Kia,Sedona,2019-12-01
812,Kia,Sorento,2019-01-01
1355,Kia,Sorento,2019-02-01
1524,Kia,Sorento,2019-03-01
1784,Kia,Sorento,2019-04-01
1490,Kia,Sorento,2019-05-01
1727,Kia,Sorento,2019-06-01
1714,Kia,Sorento,2019-07-01
1406,Kia,Sorento,2019-08-01
1185,Kia,Sorento,2019-09-01
1110,Kia,Sorento,2019-10-01
1059,Kia,Sorento,2019-11-01
888,Kia,Sorento,2019-12-01
456,Kia,Soul,2019-01-01
500,Kia,Soul,2019-02-01
1180,Kia,Soul,2019-03-01
1160,Kia,Soul,2019-04-01
1361,Kia,Soul,2019-05-01
1280,Kia,Soul,2019-06-01
1438,Kia,Soul,2019-07-01
1120,Kia,Soul,2019-08-01
989,Kia,Soul,2019-09-01
884,Kia,Soul,2019-10-01
846,Kia,Soul,2019-11-01
654,Kia,Soul,2019-12-01
580,Kia,Sportage,2019-01-01
606,Kia,Sportage,2019-02-01
1187,Kia,Sportage,2019-03-01
957,Kia,Sportage,2019-04-01
1012,Kia,Sportage,2019-05-01
1103,Kia,Sportage,2019-06-01
1375,Kia,Sportage,2019-07-01
1336,Kia,Sportage,2019-08-01
1095,Kia,Sportage,2019-09-01
1239,Kia,Sportage,2019-10-01
1333,Kia,Sportage,2019-11-01
814,Kia,Sportage,2019-12-01
62,Kia,Stinger,2019-01-01
59,Kia,Stinger,2019-02-01
129,Kia,Stinger,2019-03-01
153,Kia,Stinger,2019-04-01
174,Kia,Stinger,2019-05-01
173,Kia,Stinger,2019-06-01
151,Kia,Stinger,2019-07-01
175,Kia,Stinger,2019-08-01
170,Kia,Stinger,2019-09-01
140,Kia,Stinger,2019-10-01
101,Kia,Stinger,2019-11-01
82,Kia,Stinger,2019-12-01
0,Kia,Telluride,2019-01-01
0,Kia,Telluride,2019-02-01
111,Kia,Telluride,2019-03-01
438,Kia,Telluride,2019-04-01
523,Kia,Telluride,2019-05-01
375,Kia,Telluride,2019-06-01
300,Kia,Telluride,2019-07-01
294,Kia,Telluride,2019-08-01
345,Kia,Telluride,2019-09-01
297,Kia,Telluride,2019-10-01
187,Kia,Telluride,2019-11-01
127,Kia,Telluride,2019-12-01
21,Land,Rover Discovery / LR4,2019-01-01
41,Land,Rover Discovery / LR4,2019-02-01
144,Land,Rover Discovery / LR4,2019-03-01
43,Land,Rover Discovery / LR4,2019-04-01
63,Land,Rover Discovery / LR4,2019-05-01
63,Land,Rover Discovery / LR4,2019-06-01
60,Land,Rover Discovery / LR4,2019-07-01
48,Land,Rover Discovery / LR4,2019-08-01
48,Land,Rover Discovery / LR4,2019-09-01
62,Land,Rover Discovery / LR4,2019-10-01
37,Land,Rover Discovery / LR4,2019-11-01
63,Land,Rover Discovery / LR4,2019-12-01
54,Land,Rover Discovery Sport,2019-01-01
70,Land,Rover Discovery Sport,2019-02-01
140,Land,Rover Discovery Sport,2019-03-01
148,Land,Rover Discovery Sport,2019-04-01
45,Land,Rover Discovery Sport,2019-05-01
78,Land,Rover Discovery Sport,2019-06-01
76,Land,Rover Discovery Sport,2019-07-01
60,Land,Rover Discovery Sport,2019-08-01
133,Land,Rover Discovery Sport,2019-09-01
97,Land,Rover Discovery Sport,2019-10-01
92,Land,Rover Discovery Sport,2019-11-01
83,Land,Rover Discovery Sport,2019-12-01
111,Land,Rover Range Rover,2019-01-01
101,Land,Rover Range Rover,2019-02-01
259,Land,Rover Range Rover,2019-03-01
198,Land,Rover Range Rover,2019-04-01
141,Land,Rover Range Rover,2019-05-01
119,Land,Rover Range Rover,2019-06-01
79,Land,Rover Range Rover,2019-07-01
126,Land,Rover Range Rover,2019-08-01
158,Land,Rover Range Rover,2019-09-01
159,Land,Rover Range Rover,2019-10-01
108,Land,Rover Range Rover,2019-11-01
173,Land,Rover Range Rover,2019-12-01
53,Land,Rover Range Rover Evoque,2019-01-01
55,Land,Rover Range Rover Evoque,2019-02-01
179,Land,Rover Range Rover Evoque,2019-03-01
61,Land,Rover Range Rover Evoque,2019-04-01
198,Land,Rover Range Rover Evoque,2019-05-01
199,Land,Rover Range Rover Evoque,2019-06-01
117,Land,Rover Range Rover Evoque,2019-07-01
179,Land,Rover Range Rover Evoque,2019-08-01
120,Land,Rover Range Rover Evoque,2019-09-01
172,Land,Rover Range Rover Evoque,2019-10-01
226,Land,Rover Range Rover Evoque,2019-11-01
229,Land,Rover Range Rover Evoque,2019-12-01
207,Land,Rover Range Rover Sport,2019-01-01
213,Land,Rover Range Rover Sport,2019-02-01
411,Land,Rover Range Rover Sport,2019-03-01
202,Land,Rover Range Rover Sport,2019-04-01
256,Land,Rover Range Rover Sport,2019-05-01
256,Land,Rover Range Rover Sport,2019-06-01
225,Land,Rover Range Rover Sport,2019-07-01
274,Land,Rover Range Rover Sport,2019-08-01
336,Land,Rover Range Rover Sport,2019-09-01
301,Land,Rover Range Rover Sport,2019-10-01
268,Land,Rover Range Rover Sport,2019-11-01
250,Land,Rover Range Rover Sport,2019-12-01
116,Land,Rover Range Rover Velar,2019-01-01
129,Land,Rover Range Rover Velar,2019-02-01
236,Land,Rover Range Rover Velar,2019-03-01
161,Land,Rover Range Rover Velar,2019-04-01
162,Land,Rover Range Rover Velar,2019-05-01
187,Land,Rover Range Rover Velar,2019-06-01
103,Land,Rover Range Rover Velar,2019-07-01
171,Land,Rover Range Rover Velar,2019-08-01
137,Land,Rover Range Rover Velar,2019-09-01
161,Land,Rover Range Rover Velar,2019-10-01
121,Land,Rover Range Rover Velar,2019-11-01
115,Land,Rover Range Rover Velar,2019-12-01
120,Lexus,ES,2019-01-01
103,Lexus,ES,2019-02-01
185,Lexus,ES,2019-03-01
240,Lexus,ES,2019-04-01
223,Lexus,ES,2019-05-01
210,Lexus,ES,2019-06-01
196,Lexus,ES,2019-07-01
168,Lexus,ES,2019-08-01
215,Lexus,ES,2019-09-01
179,Lexus,ES,2019-10-01
192,Lexus,ES,2019-11-01
123,Lexus,ES,2019-12-01
5,Lexus,GS,2019-01-01
9,Lexus,GS,2019-02-01
34,Lexus,GS,2019-03-01
5,Lexus,GS,2019-04-01
6,Lexus,GS,2019-05-01
7,Lexus,GS,2019-06-01
6,Lexus,GS,2019-07-01
10,Lexus,GS,2019-08-01
14,Lexus,GS,2019-09-01
6,Lexus,GS,2019-10-01
7,Lexus,GS,2019-11-01
5,Lexus,GS,2019-12-01
9,Lexus,GX,2019-01-01
26,Lexus,GX,2019-02-01
31,Lexus,GX,2019-03-01
26,Lexus,GX,2019-04-01
23,Lexus,GX,2019-05-01
23,Lexus,GX,2019-06-01
17,Lexus,GX,2019-07-01
30,Lexus,GX,2019-08-01
23,Lexus,GX,2019-09-01
70,Lexus,GX,2019-10-01
65,Lexus,GX,2019-11-01
34,Lexus,GX,2019-12-01
71,Lexus,IS,2019-01-01
89,Lexus,IS,2019-02-01
145,Lexus,IS,2019-03-01
225,Lexus,IS,2019-04-01
225,Lexus,IS,2019-05-01
287,Lexus,IS,2019-06-01
268,Lexus,IS,2019-07-01
241,Lexus,IS,2019-08-01
282,Lexus,IS,2019-09-01
220,Lexus,IS,2019-10-01
123,Lexus,IS,2019-11-01
82,Lexus,IS,2019-12-01
3,Lexus,LC,2019-01-01
5,Lexus,LC,2019-02-01
7,Lexus,LC,2019-03-01
15,Lexus,LC,2019-04-01
9,Lexus,LC,2019-05-01
9,Lexus,LC,2019-06-01
7,Lexus,LC,2019-07-01
5,Lexus,LC,2019-08-01
6,Lexus,LC,2019-09-01
3,Lexus,LC,2019-10-01
4,Lexus,LC,2019-11-01
1,Lexus,LC,2019-12-01
12,Lexus,LS,2019-01-01
6,Lexus,LS,2019-02-01
5,Lexus,LS,2019-03-01
8,Lexus,LS,2019-04-01
8,Lexus,LS,2019-05-01
5,Lexus,LS,2019-06-01
7,Lexus,LS,2019-07-01
4,Lexus,LS,2019-08-01
7,Lexus,LS,2019-09-01
2,Lexus,LS,2019-10-01
4,Lexus,LS,2019-11-01
1,Lexus,LS,2019-12-01
111,Lexus,LX,2019-01-01
89,Lexus,LX,2019-02-01
114,Lexus,LX,2019-03-01
101,Lexus,LX,2019-04-01
127,Lexus,LX,2019-05-01
62,Lexus,LX,2019-06-01
29,Lexus,LX,2019-07-01
70,Lexus,LX,2019-08-01
58,Lexus,LX,2019-09-01
96,Lexus,LX,2019-10-01
110,Lexus,LX,2019-11-01
86,Lexus,LX,2019-12-01
450,Lexus,NX,2019-01-01
426,Lexus,NX,2019-02-01
668,Lexus,NX,2019-03-01
765,Lexus,NX,2019-04-01
634,Lexus,NX,2019-05-01
577,Lexus,NX,2019-06-01
586,Lexus,NX,2019-07-01
703,Lexus,NX,2019-08-01
889,Lexus,NX,2019-09-01
785,Lexus,NX,2019-10-01
585,Lexus,NX,2019-11-01
558,Lexus,NX,2019-12-01
12,Lexus,RC,2019-01-01
17,Lexus,RC,2019-02-01
22,Lexus,RC,2019-03-01
52,Lexus,RC,2019-04-01
28,Lexus,RC,2019-05-01
46,Lexus,RC,2019-06-01
28,Lexus,RC,2019-07-01
18,Lexus,RC,2019-08-01
29,Lexus,RC,2019-09-01
25,Lexus,RC,2019-10-01
17,Lexus,RC,2019-11-01
11,Lexus,RC,2019-12-01
416,Lexus,RX,2019-01-01
450,Lexus,RX,2019-02-01
769,Lexus,RX,2019-03-01
876,Lexus,RX,2019-04-01
698,Lexus,RX,2019-05-01
773,Lexus,RX,2019-06-01
574,Lexus,RX,2019-07-01
650,Lexus,RX,2019-08-01
912,Lexus,RX,2019-09-01
965,Lexus,RX,2019-10-01
1021,Lexus,RX,2019-11-01
723,Lexus,RX,2019-12-01
258,Lexus,UX,2019-01-01
228,Lexus,UX,2019-02-01
236,Lexus,UX,2019-03-01
342,Lexus,UX,2019-04-01
309,Lexus,UX,2019-05-01
246,Lexus,UX,2019-06-01
186,Lexus,UX,2019-07-01
209,Lexus,UX,2019-08-01
166,Lexus,UX,2019-09-01
194,Lexus,UX,2019-10-01
153,Lexus,UX,2019-11-01
156,Lexus,UX,2019-12-01
0,Lincoln,Aviator,2019-01-01
0,Lincoln,Aviator,2019-02-01
0,Lincoln,Aviator,2019-03-01
0,Lincoln,Aviator,2019-04-01
0,Lincoln,Aviator,2019-05-01
0,Lincoln,Aviator,2019-06-01
0,Lincoln,Aviator,2019-07-01
24,Lincoln,Aviator,2019-08-01
78,Lincoln,Aviator,2019-09-01
89,Lincoln,Aviator,2019-10-01
114,Lincoln,Aviator,2019-11-01
373,Lincoln,Aviator,2019-12-01
24,Lincoln,Continental,2019-01-01
15,Lincoln,Continental,2019-02-01
4,Lincoln,Continental,2019-03-01
14,Lincoln,Continental,2019-04-01
37,Lincoln,Continental,2019-05-01
17,Lincoln,Continental,2019-06-01
15,Lincoln,Continental,2019-07-01
15,Lincoln,Continental,2019-08-01
9,Lincoln,Continental,2019-09-01
14,Lincoln,Continental,2019-10-01
14,Lincoln,Continental,2019-11-01
9,Lincoln,Continental,2019-12-01
147,Lincoln,MKC,2019-01-01
126,Lincoln,MKC,2019-02-01
233,Lincoln,MKC,2019-03-01
186,Lincoln,MKC,2019-04-01
237,Lincoln,MKC,2019-05-01
250,Lincoln,MKC,2019-06-01
209,Lincoln,MKC,2019-07-01
201,Lincoln,MKC,2019-08-01
199,Lincoln,MKC,2019-09-01
82,Lincoln,MKC,2019-10-01
53,Lincoln,MKC,2019-11-01
584,Lincoln,MKC,2019-12-01
0,Lincoln,MKS,2019-01-01
0,Lincoln,MKS,2019-02-01
0,Lincoln,MKS,2019-03-01
0,Lincoln,MKS,2019-04-01
0,Lincoln,MKS,2019-05-01
12,Lincoln,MKS,2019-06-01
0,Lincoln,MKS,2019-07-01
0,Lincoln,MKS,2019-08-01
0,Lincoln,MKS,2019-09-01
0,Lincoln,MKS,2019-10-01
0,Lincoln,MKS,2019-11-01
0,Lincoln,MKS,2019-12-01
3,Lincoln,MKT,2019-01-01
8,Lincoln,MKT,2019-02-01
5,Lincoln,MKT,2019-03-01
10,Lincoln,MKT,2019-04-01
8,Lincoln,MKT,2019-05-01
0,Lincoln,MKT,2019-06-01
16,Lincoln,MKT,2019-07-01
13,Lincoln,MKT,2019-08-01
11,Lincoln,MKT,2019-09-01
8,Lincoln,MKT,2019-10-01
8,Lincoln,MKT,2019-11-01
1,Lincoln,MKT,2019-12-01
214,Lincoln,MKX/Nautilus,2019-01-01
202,Lincoln,MKX/Nautilus,2019-02-01
276,Lincoln,MKX/Nautilus,2019-03-01
273,Lincoln,MKX/Nautilus,2019-04-01
392,Lincoln,MKX/Nautilus,2019-05-01
315,Lincoln,MKX/Nautilus,2019-06-01
316,Lincoln,MKX/Nautilus,2019-07-01
328,Lincoln,MKX/Nautilus,2019-08-01
338,Lincoln,MKX/Nautilus,2019-09-01
241,Lincoln,MKX/Nautilus,2019-10-01
239,Lincoln,MKX/Nautilus,2019-11-01
104,Lincoln,MKX/Nautilus,2019-12-01
27,Lincoln,MKZ,2019-01-01
40,Lincoln,MKZ,2019-02-01
37,Lincoln,MKZ,2019-03-01
36,Lincoln,MKZ,2019-04-01
40,Lincoln,MKZ,2019-05-01
39,Lincoln,MKZ,2019-06-01
25,Lincoln,MKZ,2019-07-01
32,Lincoln,MKZ,2019-08-01
29,Lincoln,MKZ,2019-09-01
28,Lincoln,MKZ,2019-10-01
27,Lincoln,MKZ,2019-11-01
7,Lincoln,MKZ,2019-12-01
84,Lincoln,Navigator,2019-01-01
122,Lincoln,Navigator,2019-02-01
170,Lincoln,Navigator,2019-03-01
184,Lincoln,Navigator,2019-04-01
160,Lincoln,Navigator,2019-05-01
111,Lincoln,Navigator,2019-06-01
177,Lincoln,Navigator,2019-07-01
147,Lincoln,Navigator,2019-08-01
180,Lincoln,Navigator,2019-09-01
121,Lincoln,Navigator,2019-10-01
120,Lincoln,Navigator,2019-11-01
68,Lincoln,Navigator,2019-12-01
9,Maserati,Ghibli,2019-01-01
10,Maserati,Ghibli,2019-02-01
10,Maserati,Ghibli,2019-03-01
13,Maserati,Ghibli,2019-04-01
11,Maserati,Ghibli,2019-05-01
13,Maserati,Ghibli,2019-06-01
14,Maserati,Ghibli,2019-07-01
19,Maserati,Ghibli,2019-08-01
9,Maserati,Ghibli,2019-09-01
33,Maserati,Ghibli,2019-10-01
7,Maserati,Ghibli,2019-11-01
3,Maserati,Ghibli,2019-12-01
0,Maserati,GranTurismo,2019-01-01
1,Maserati,GranTurismo,2019-02-01
0,Maserati,GranTurismo,2019-03-01
3,Maserati,GranTurismo,2019-04-01
5,Maserati,GranTurismo,2019-05-01
3,Maserati,GranTurismo,2019-06-01
2,Maserati,GranTurismo,2019-07-01
3,Maserati,GranTurismo,2019-08-01
1,Maserati,GranTurismo,2019-09-01
2,Maserati,GranTurismo,2019-10-01
0,Maserati,GranTurismo,2019-11-01
1,Maserati,GranTurismo,2019-12-01
39,Maserati,Levante,2019-01-01
22,Maserati,Levante,2019-02-01
24,Maserati,Levante,2019-03-01
36,Maserati,Levante,2019-04-01
37,Maserati,Levante,2019-05-01
26,Maserati,Levante,2019-06-01
23,Maserati,Levante,2019-07-01
29,Maserati,Levante,2019-08-01
25,Maserati,Levante,2019-09-01
39,Maserati,Levante,2019-10-01
19,Maserati,Levante,2019-11-01
23,Maserati,Levante,2019-12-01
3,Maserati,Quattroporte,2019-01-01
7,Maserati,Quattroporte,2019-02-01
16,Maserati,Quattroporte,2019-03-01
15,Maserati,Quattroporte,2019-04-01
10,Maserati,Quattroporte,2019-05-01
6,Maserati,Quattroporte,2019-06-01
5,Maserati,Quattroporte,2019-07-01
1,Maserati,Quattroporte,2019-08-01
5,Maserati,Quattroporte,2019-09-01
1,Maserati,Quattroporte,2019-10-01
1,Maserati,Quattroporte,2019-11-01
1,Maserati,Quattroporte,2019-12-01
1279,Mazda,3,2019-01-01
1331,Mazda,3,2019-02-01
2349,Mazda,3,2019-03-01
2545,Mazda,3,2019-04-01
2219,Mazda,3,2019-05-01
1823,Mazda,3,2019-06-01
2048,Mazda,3,2019-07-01
1932,Mazda,3,2019-08-01
1669,Mazda,3,2019-09-01
1707,Mazda,3,2019-10-01
1414,Mazda,3,2019-11-01
960,Mazda,3,2019-12-01
130,Mazda,6,2019-01-01
78,Mazda,6,2019-02-01
121,Mazda,6,2019-03-01
149,Mazda,6,2019-04-01
146,Mazda,6,2019-05-01
145,Mazda,6,2019-06-01
114,Mazda,6,2019-07-01
134,Mazda,6,2019-08-01
113,Mazda,6,2019-09-01
103,Mazda,6,2019-10-01
121,Mazda,6,2019-11-01
48,Mazda,6,2019-12-01
529,Mazda,CX-3,2019-01-01
572,Mazda,CX-3,2019-02-01
906,Mazda,CX-3,2019-03-01
910,Mazda,CX-3,2019-04-01
969,Mazda,CX-3,2019-05-01
966,Mazda,CX-3,2019-06-01
1088,Mazda,CX-3,2019-07-01
1333,Mazda,CX-3,2019-08-01
1084,Mazda,CX-3,2019-09-01
1124,Mazda,CX-3,2019-10-01
858,Mazda,CX-3,2019-11-01
511,Mazda,CX-3,2019-12-01
1565,Mazda,CX-5,2019-01-01
1550,Mazda,CX-5,2019-02-01
2391,Mazda,CX-5,2019-03-01
2285,Mazda,CX-5,2019-04-01
2559,Mazda,CX-5,2019-05-01
2558,Mazda,CX-5,2019-06-01
2752,Mazda,CX-5,2019-07-01
2565,Mazda,CX-5,2019-08-01
2620,Mazda,CX-5,2019-09-01
2713,Mazda,CX-5,2019-10-01
2477,Mazda,CX-5,2019-11-01
1661,Mazda,CX-5,2019-12-01
224,Mazda,CX-9,2019-01-01
263,Mazda,CX-9,2019-02-01
418,Mazda,CX-9,2019-03-01
307,Mazda,CX-9,2019-04-01
361,Mazda,CX-9,2019-05-01
455,Mazda,CX-9,2019-06-01
474,Mazda,CX-9,2019-07-01
359,Mazda,CX-9,2019-08-01
305,Mazda,CX-9,2019-09-01
364,Mazda,CX-9,2019-10-01
419,Mazda,CX-9,2019-11-01
473,Mazda,CX-9,2019-12-01
18,Mazda,MX-5 Miata,2019-01-01
30,Mazda,MX-5 Miata,2019-02-01
65,Mazda,MX-5 Miata,2019-03-01
115,Mazda,MX-5 Miata,2019-04-01
126,Mazda,MX-5 Miata,2019-05-01
78,Mazda,MX-5 Miata,2019-06-01
155,Mazda,MX-5 Miata,2019-07-01
85,Mazda,MX-5 Miata,2019-08-01
52,Mazda,MX-5 Miata,2019-09-01
24,Mazda,MX-5 Miata,2019-10-01
19,Mazda,MX-5 Miata,2019-11-01
7,Mazda,MX-5 Miata,2019-12-01
119,Mercedes-Benz,A-Class,2019-01-01
173,Mercedes-Benz,A-Class,2019-02-01
277,Mercedes-Benz,A-Class,2019-03-01
224,Mercedes-Benz,A-Class,2019-04-01
328,Mercedes-Benz,A-Class,2019-05-01
313,Mercedes-Benz,A-Class,2019-06-01
498,Mercedes-Benz,A-Class,2019-07-01
327,Mercedes-Benz,A-Class,2019-08-01
365,Mercedes-Benz,A-Class,2019-09-01
396,Mercedes-Benz,A-Class,2019-10-01
352,Mercedes-Benz,A-Class,2019-11-01
260,Mercedes-Benz,A-Class,2019-12-01
10,Mercedes-Benz,AMG GT,2019-01-01
16,Mercedes-Benz,AMG GT,2019-02-01
29,Mercedes-Benz,AMG GT,2019-03-01
53,Mercedes-Benz,AMG GT,2019-04-01
40,Mercedes-Benz,AMG GT,2019-05-01
37,Mercedes-Benz,AMG GT,2019-06-01
73,Mercedes-Benz,AMG GT,2019-07-01
40,Mercedes-Benz,AMG GT,2019-08-01
27,Mercedes-Benz,AMG GT,2019-09-01
40,Mercedes-Benz,AMG GT,2019-10-01
28,Mercedes-Benz,AMG GT,2019-11-01
31,Mercedes-Benz,AMG GT,2019-12-01
59,Mercedes-Benz,B-Class,2019-01-01
60,Mercedes-Benz,B-Class,2019-02-01
83,Mercedes-Benz,B-Class,2019-03-01
36,Mercedes-Benz,B-Class,2019-04-01
25,Mercedes-Benz,B-Class,2019-05-01
16,Mercedes-Benz,B-Class,2019-06-01
8,Mercedes-Benz,B-Class,2019-07-01
9,Mercedes-Benz,B-Class,2019-08-01
6,Mercedes-Benz,B-Class,2019-09-01
2,Mercedes-Benz,B-Class,2019-10-01
2,Mercedes-Benz,B-Class,2019-11-01
0,Mercedes-Benz,B-Class,2019-12-01
456,Mercedes-Benz,C-Class,2019-01-01
537,Mercedes-Benz,C-Class,2019-02-01
647,Mercedes-Benz,C-Class,2019-03-01
647,Mercedes-Benz,C-Class,2019-04-01
602,Mercedes-Benz,C-Class,2019-05-01
735,Mercedes-Benz,C-Class,2019-06-01
707,Mercedes-Benz,C-Class,2019-07-01
535,Mercedes-Benz,C-Class,2019-08-01
557,Mercedes-Benz,C-Class,2019-09-01
693,Mercedes-Benz,C-Class,2019-10-01
380,Mercedes-Benz,C-Class,2019-11-01
328,Mercedes-Benz,C-Class,2019-12-01
138,Mercedes-Benz,CLA-Class,2019-01-01
57,Mercedes-Benz,CLA-Class,2019-02-01
104,Mercedes-Benz,CLA-Class,2019-03-01
56,Mercedes-Benz,CLA-Class,2019-04-01
71,Mercedes-Benz,CLA-Class,2019-05-01
39,Mercedes-Benz,CLA-Class,2019-06-01
16,Mercedes-Benz,CLA-Class,2019-07-01
9,Mercedes-Benz,CLA-Class,2019-08-01
48,Mercedes-Benz,CLA-Class,2019-09-01
162,Mercedes-Benz,CLA-Class,2019-10-01
201,Mercedes-Benz,CLA-Class,2019-11-01
164,Mercedes-Benz,CLA-Class,2019-12-01
263,Mercedes-Benz,E / CLS-Class,2019-01-01
186,Mercedes-Benz,E / CLS-Class,2019-02-01
339,Mercedes-Benz,E / CLS-Class,2019-03-01
338,Mercedes-Benz,E / CLS-Class,2019-04-01
380,Mercedes-Benz,E / CLS-Class,2019-05-01
312,Mercedes-Benz,E / CLS-Class,2019-06-01
276,Mercedes-Benz,E / CLS-Class,2019-07-01
273,Mercedes-Benz,E / CLS-Class,2019-08-01
301,Mercedes-Benz,E / CLS-Class,2019-09-01
265,Mercedes-Benz,E / CLS-Class,2019-10-01
296,Mercedes-Benz,E / CLS-Class,2019-11-01
223,Mercedes-Benz,E / CLS-Class,2019-12-01
19,Mercedes-Benz,G-Class,2019-01-01
251,Mercedes-Benz,G-Class,2019-02-01
185,Mercedes-Benz,G-Class,2019-03-01
151,Mercedes-Benz,G-Class,2019-04-01
99,Mercedes-Benz,G-Class,2019-05-01
53,Mercedes-Benz,G-Class,2019-06-01
58,Mercedes-Benz,G-Class,2019-07-01
82,Mercedes-Benz,G-Class,2019-08-01
104,Mercedes-Benz,G-Class,2019-09-01
101,Mercedes-Benz,G-Class,2019-10-01
106,Mercedes-Benz,G-Class,2019-11-01
63,Mercedes-Benz,G-Class,2019-12-01
225,Mercedes-Benz,GL/GLS-Class,2019-01-01
157,Mercedes-Benz,GL/GLS-Class,2019-02-01
195,Mercedes-Benz,GL/GLS-Class,2019-03-01
113,Mercedes-Benz,GL/GLS-Class,2019-04-01
33,Mercedes-Benz,GL/GLS-Class,2019-05-01
39,Mercedes-Benz,GL/GLS-Class,2019-06-01
16,Mercedes-Benz,GL/GLS-Class,2019-07-01
18,Mercedes-Benz,GL/GLS-Class,2019-08-01
226,Mercedes-Benz,GL/GLS-Class,2019-09-01
391,Mercedes-Benz,GL/GLS-Class,2019-10-01
254,Mercedes-Benz,GL/GLS-Class,2019-11-01
280,Mercedes-Benz,GL/GLS-Class,2019-12-01
138,Mercedes-Benz,GLA-Class,2019-01-01
180,Mercedes-Benz,GLA-Class,2019-02-01
307,Mercedes-Benz,GLA-Class,2019-03-01
266,Mercedes-Benz,GLA-Class,2019-04-01
406,Mercedes-Benz,GLA-Class,2019-05-01
306,Mercedes-Benz,GLA-Class,2019-06-01
400,Mercedes-Benz,GLA-Class,2019-07-01
595,Mercedes-Benz,GLA-Class,2019-08-01
223,Mercedes-Benz,GLA-Class,2019-09-01
200,Mercedes-Benz,GLA-Class,2019-10-01
494,Mercedes-Benz,GLA-Class,2019-11-01
174,Mercedes-Benz,GLA-Class,2019-12-01
611,Mercedes-Benz,GLC/GLK-Class,2019-01-01
757,Mercedes-Benz,GLC/GLK-Class,2019-02-01
1037,Mercedes-Benz,GLC/GLK-Class,2019-03-01
